entry_id,title,jurisdiction,year,income,coverage_pct,avg_depth,alignment_score,Human rights & human dignity,"Peaceful, just & interconnected societies",Diversity & inclusiveness,Environment & ecosystem flourishing,Proportionality & do no harm,Safety & security,Fairness & non-discrimination,Sustainability,Right to privacy & data protection,Human oversight & determination,Transparency & explainability,Responsibility & accountability,Awareness & literacy,Multi-stakeholder & adaptive governance,Ethical impact assessment,Ethical governance & stewardship,Data policy,Development & international cooperation,Environment & ecosystem,Gender,Culture,Education & research,Communication & information,Economy & labour,Health & social well-being
71c3360f1de0,AI Sector Deal,United Kingdom,2018,High income,60.0,3.41,63.3,0.00,4.00,4.00,0.00,0.00,3.00,4.00,0.00,4.00,0.00,2.50,2.00,4.00,3.00,0.00,3.67,4.00,2.00,0.00,0.00,0.00,4.00,0.00,4.00,3.00
d5e7813128dc,Artificial Intelligence Task Force for India's Economic Transformation,India,2017,Developing,60.0,3.41,63.3,0.00,4.00,4.00,0.00,0.00,3.00,4.00,0.00,4.00,0.00,2.00,2.00,3.50,3.67,0.00,3.50,4.00,4.00,0.00,0.00,0.00,3.50,0.00,4.00,2.00
5c332e711c86,CDEI Snapshot Paper: Deepfakes and Audio-visual Disinformation,United Kingdom,2019,High income,56.0,3.70,63.2,4.00,4.00,4.00,0.00,4.00,0.00,4.00,0.00,2.00,0.00,2.50,3.33,4.50,0.00,4.00,4.50,2.00,0.00,0.00,0.00,0.00,4.50,0.00,4.50,0.00
020da26b66d0,Innovation Strategy for Smart Specialisation 2021-2027,Bulgaria,2022,Developing,60.0,3.40,63.2,0.00,2.00,3.50,4.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,3.00,3.50,4.00,0.00,4.50,2.00,3.00,4.00,0.00,3.00,3.50,0.00,3.00,0.00
181ba3a5e506,African Working Group on AI,Egypt,2019,Developing,68.0,2.79,63.2,0.00,4.00,3.50,2.00,0.00,0.00,4.00,2.00,3.00,0.00,2.00,2.00,2.00,3.50,0.00,2.50,3.00,4.00,2.00,0.00,3.00,2.00,0.00,3.00,0.00
46854843408d,European Data Governance Act (DGA),European Union,2023,Unknown,52.0,3.98,63.0,4.00,4.00,4.00,0.00,4.00,0.00,4.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00,0.00,3.75,4.00,0.00,0.00,4.00,0.00,0.00,4.00,4.00,0.00
23da263108c6,Strategic Plan for Knowledge Transfer in AI,Colombia,2021,Developing,68.0,2.78,63.0,0.00,2.50,2.00,2.00,0.00,0.00,2.00,2.00,2.00,0.00,2.00,4.00,4.00,4.00,0.00,3.25,2.00,4.00,2.00,0.00,0.00,4.00,0.00,2.50,3.00
3493e89cb0e0,European Digital Innovation Hubs,Poland,2021,High income,56.0,3.68,63.0,0.00,4.00,4.00,3.00,0.00,0.00,4.00,3.00,0.00,0.00,3.00,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,4.00,0.00
33e603986725,Federal 5-Year STEM Education Strategic Plan,United States,2018,High income,48.0,4.28,63.0,0.00,4.67,4.50,0.00,0.00,0.00,4.67,0.00,0.00,0.00,5.00,5.00,4.00,3.50,0.00,5.00,0.00,2.00,0.00,0.00,5.00,4.00,0.00,4.00,0.00
e42af153a866,Sandbox Framework for Adoption of Innovative Technologies in the Public Sector,Mauritius,2020,Developing,52.0,3.98,63.0,0.00,4.00,4.00,0.00,4.00,4.00,4.00,0.00,4.00,0.00,3.50,4.00,0.00,4.00,4.00,4.20,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00
a5e91c826739,India AI: National Program on Artificial Intelligence,India,2023,Developing,68.0,2.77,63.0,0.00,2.50,4.00,0.00,2.00,2.00,2.67,0.00,2.67,0.00,2.33,2.33,5.00,2.00,0.00,3.00,2.67,2.00,0.00,2.00,0.00,5.00,0.00,3.00,2.00
eeb310f5c7e7,"AI Ecosystem Survey “Summary Report: Informing The National AI Strategy""",United Kingdom,2021,High income,56.0,3.67,62.9,0.00,3.00,3.00,0.00,0.00,3.00,3.50,0.00,4.50,0.00,4.50,3.00,5.00,4.00,0.00,2.50,4.33,4.00,0.00,0.00,0.00,5.00,0.00,2.00,0.00
dc82502af976,Digital Compass/data policy,Finland,2022,High income,52.0,3.96,62.9,0.00,3.50,4.00,4.00,0.00,0.00,4.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00,0.00,4.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00
236208cb47a0,National AI Advisory Committee's Subcommittee on Law Enforcement,United States,2020,High income,56.0,3.65,62.8,0.00,3.50,2.00,0.00,4.00,0.00,3.67,0.00,4.00,0.00,3.00,3.33,4.00,0.00,3.67,4.00,4.00,0.00,0.00,5.00,0.00,4.00,0.00,3.00,0.00
664a0897a051,AI Standards Hub,United Kingdom,2022,High income,48.0,4.25,62.8,0.00,4.00,4.50,0.00,0.00,2.00,4.50,0.00,0.00,0.00,4.00,4.00,5.00,4.50,0.00,4.50,0.00,5.00,0.00,0.00,0.00,5.00,0.00,4.00,0.00
4867ca644434,"Request for Information and Comment on Financial Institutions' Use of AI, Including ML",United States,2021,High income,52.0,3.95,62.8,0.00,0.00,0.00,0.00,4.00,4.00,5.00,0.00,3.67,4.00,5.00,3.33,3.00,0.00,3.67,4.00,3.67,0.00,0.00,5.00,0.00,3.00,0.00,0.00,0.00
153d8deca9db,Priority 1 of the EU Funds for Smart Economy 2021–2027,Poland,2021,High income,56.0,3.64,62.7,4.00,4.00,3.00,4.00,0.00,0.00,3.00,4.00,0.00,0.00,5.00,4.00,0.00,0.00,3.00,3.00,0.00,4.00,4.00,3.00,0.00,0.00,0.00,0.00,3.00
3c1eaef92db5,Technology Comprehension in traditional subjects,Denmark,2019,High income,56.0,3.64,62.7,4.00,3.00,3.00,0.00,4.00,0.00,4.00,0.00,0.00,4.00,3.00,4.00,4.50,0.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,4.50,0.00,4.00,3.00
7e13a65faeae,Green AI Hub mid tier,Germany,2022,High income,56.0,3.64,62.7,0.00,3.00,3.00,5.00,0.00,0.00,3.00,5.00,2.00,0.00,4.00,0.00,4.00,0.00,0.00,5.00,3.00,0.00,5.00,0.00,0.00,4.00,0.00,3.00,2.00
2108918e58cd,Italian Strategy on Data,Italy,2024,High income,64.0,3.04,62.7,3.00,0.00,0.00,2.00,5.00,4.00,0.00,2.00,3.00,3.00,2.00,2.00,0.00,2.00,5.00,3.60,3.00,2.00,2.00,0.00,0.00,0.00,0.00,5.00,0.00
4ca382970437,Generative AI Evaluation Sandbox,Singapore,2023,High income,60.0,3.33,62.7,0.00,2.00,3.50,0.00,0.00,3.00,3.00,0.00,0.00,0.00,3.00,3.00,3.00,4.00,4.00,4.50,4.00,4.00,0.00,0.00,4.00,3.00,0.00,2.00,0.00
d0653951baf2,Leading the Way Into the Age of AI,Finland,2019,High income,60.0,3.33,62.7,3.00,3.00,4.00,0.00,0.00,2.00,4.00,0.00,0.00,3.00,3.50,3.00,4.00,3.50,0.00,3.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,3.00,3.00
1f71d9adae54,nxtAIM,Germany,2024,High income,60.0,3.32,62.6,0.00,4.00,4.00,0.00,3.50,4.00,4.00,0.00,4.00,3.00,3.50,3.00,2.00,0.00,3.33,3.50,4.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00
1061536bb368,National Occupational Standard Framework for Data and Artificial Intelligence (NOSF),Saudi Arabia,2024,High income,56.0,3.62,62.6,0.00,3.00,3.00,0.00,0.00,4.00,3.00,0.00,5.00,0.00,2.50,2.50,4.00,4.00,0.00,3.67,5.00,4.00,0.00,0.00,0.00,4.00,0.00,3.00,0.00
865e8bb4cb25,Testing and Experimentation Facility for Health AI and Robotics (TEF-Health) – Czechia Node at Masaryk University,Czech Republic,2023,High income,60.0,3.31,62.5,0.00,3.00,3.00,4.00,0.00,2.00,3.00,4.00,0.00,0.00,4.00,2.50,3.00,4.00,0.00,3.20,0.00,4.00,4.00,0.00,0.00,3.00,0.00,3.00,0.00
691e72600aba,National Strategy on Artificial Intelligence,India,2018,Developing,60.0,3.31,62.5,0.00,4.00,4.00,0.00,0.00,2.00,4.00,0.00,4.00,2.00,2.00,2.00,3.50,3.67,0.00,3.00,4.00,4.00,0.00,0.00,0.00,3.50,0.00,4.00,0.00
d16b04da72f0,AI Idea Workshop for Environmental Protection,Germany,2023,High income,52.0,3.91,62.5,0.00,3.33,4.00,4.00,0.00,0.00,3.50,4.00,0.00,0.00,3.00,4.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00,5.00,0.00
d6b5cfe2d45e,The implementing regulation of the Personal Data Protection Law,Saudi Arabia,2023,High income,48.0,4.21,62.5,4.50,5.00,0.00,0.00,4.00,0.00,0.00,0.00,4.75,4.00,5.00,4.50,2.00,0.00,5.00,0.00,4.75,0.00,0.00,0.00,0.00,2.00,0.00,5.00,0.00
f73e4f3e1b4b,European Digital Innovation Hubs (EDIHs),Slovak Republic,2024,High income,56.0,3.61,62.5,0.00,4.00,4.00,3.00,0.00,0.00,4.00,3.00,0.00,0.00,2.00,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,4.00,0.00
aa73de0e314f,European Digital Innovation Hubs (EDIHs),Romania,2021,High income,56.0,3.61,62.5,0.00,4.00,4.00,3.00,0.00,0.00,4.00,3.00,0.00,0.00,2.00,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,4.00,0.00
c8cbc7387d46,Smart Attica EDIH,Greece,2024,High income,56.0,3.61,62.5,0.00,4.00,4.00,3.00,0.00,0.00,4.00,3.00,0.00,0.00,2.00,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,4.00,0.00
0d862884475f,DiGiNN Cyprus (European Digital Innovation Hub),Cyprus,2023,High income,56.0,3.61,62.5,0.00,4.00,4.00,3.00,0.00,0.00,4.00,3.00,0.00,0.00,2.00,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,4.00,0.00
4b9de31f3d20,AI & gaming (JURK) EDIH,Croatia,2022,High income,56.0,3.61,62.5,0.00,4.00,3.50,3.00,0.00,0.00,3.50,3.00,0.00,0.00,3.00,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,4.00,0.00
cb0107bcd6fa,Website for Personal Data Protection Impact Assessments,Mexico,2020,Developing,68.0,2.71,62.4,0.00,2.00,0.00,3.00,0.00,2.00,0.00,3.00,2.50,2.00,4.00,3.00,4.00,3.00,1.00,3.00,2.50,0.00,3.00,0.00,0.00,4.00,0.00,2.00,2.00
b1fa0b75b481,Transition 5.0 Plan,Italy,2024,High income,64.0,3.00,62.4,0.00,2.50,2.00,4.00,0.00,0.00,2.00,4.00,3.00,0.00,3.00,3.50,3.00,0.00,0.00,4.00,3.00,2.00,4.00,0.00,0.00,3.00,0.00,3.00,2.00
975f228217d9,Agriculture and Rural Development - ADER 2026,Romania,2023,High income,60.0,3.30,62.4,0.00,4.00,2.00,4.00,4.00,3.00,2.00,4.00,0.00,0.00,0.00,4.50,2.00,0.00,4.00,4.00,0.00,0.00,4.00,0.00,0.00,2.00,0.00,4.00,2.00
fb214761a9e1,Project on Spanish Language and AI,Spain,2022,High income,56.0,3.60,62.4,0.00,3.67,4.00,0.00,3.00,0.00,4.00,0.00,0.00,0.00,3.67,4.00,3.00,3.50,0.00,3.50,4.00,3.00,0.00,0.00,4.00,3.00,0.00,4.00,0.00
8290ed104a41,ML Quality Management Guideline,Japan,2020,High income,56.0,3.60,62.4,0.00,4.00,0.00,0.00,4.00,5.00,5.00,0.00,4.50,3.00,3.00,3.33,2.00,0.00,3.00,4.00,4.50,0.00,0.00,0.00,0.00,2.00,0.00,3.00,0.00
6e943342c521,Freedom of Information Regulations,Saudi Arabia,2021,High income,48.0,4.19,62.4,0.00,4.00,3.00,0.00,0.00,0.00,3.00,0.00,4.67,0.00,3.25,4.67,5.00,0.00,4.00,5.00,4.75,0.00,0.00,0.00,0.00,5.00,0.00,4.00,0.00
2fb9f29ad423,AI Regulation White Paper,United Kingdom,2022,High income,48.0,4.19,62.4,0.00,5.00,3.00,0.00,4.00,5.00,4.00,0.00,0.00,0.00,4.33,4.00,4.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,5.00,0.00
2945b045f868,Smart Job Retraining,Chile,2021,High income,72.0,2.39,62.3,0.00,2.00,0.00,3.00,0.00,2.00,0.00,3.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,3.00,2.00,3.00,0.00,0.00,2.00,0.00,2.00,2.00
0d7342855538,White House Summit on AI in Government,United States,2019,High income,60.0,3.28,62.2,2.00,4.00,3.00,0.00,0.00,2.00,3.00,0.00,3.50,0.00,2.50,2.00,4.00,4.00,0.00,3.67,3.50,4.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00
74da7b4fb82f,European Digital Innovation Hubs (EDIHs),Czech Republic,2023,High income,56.0,3.57,62.2,0.00,4.00,3.50,3.00,0.00,0.00,3.50,3.00,0.00,0.00,2.50,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,4.00,0.00
ef180e77452b,Teleworking: The Rules and Best Practices to follow,France,2020,High income,56.0,3.57,62.2,3.50,2.00,0.00,0.00,4.00,4.00,2.00,0.00,4.50,3.50,3.00,3.50,4.00,0.00,4.00,3.50,4.50,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00
02fd7526bf9b,National Biotechnology Strategy,Saudi Arabia,2024,High income,56.0,3.57,62.2,0.00,4.00,3.00,4.00,0.00,0.00,3.00,4.00,0.00,0.00,0.00,3.50,3.00,3.50,0.00,3.00,0.00,4.00,4.00,0.00,0.00,3.00,0.00,4.00,4.00
2bfd51e32958,White Paper on Trustworthy AI,China (People’s Republic of),2021,Unknown,60.0,3.27,62.1,0.00,3.50,2.00,0.00,0.00,4.00,3.50,0.00,4.50,2.00,4.50,3.00,4.00,0.00,2.00,3.50,4.50,0.00,0.00,0.00,2.00,4.00,0.00,2.00,0.00
75c96cc6bf44,Government Digital Innovation Regulatory Sandbox,Zambia,2023,Developing,52.0,3.87,62.1,0.00,2.00,4.00,0.00,0.00,5.00,4.00,0.00,4.00,0.00,3.00,4.00,5.00,4.00,0.00,4.25,4.00,0.00,0.00,0.00,0.00,5.00,0.00,2.00,0.00
c087d41ae691,Data Classification Regulations,Saudi Arabia,2021,High income,48.0,4.15,62.0,0.00,4.00,3.00,0.00,0.00,0.00,3.00,0.00,4.67,0.00,3.67,4.00,5.00,0.00,4.00,5.00,4.50,0.00,0.00,0.00,0.00,5.00,0.00,4.00,0.00
f2f358b558b5,AI-Ready Flemish Public Administration,Belgium,2024,High income,64.0,2.95,62.0,3.00,2.00,2.00,0.00,0.00,0.00,2.00,0.00,3.00,2.00,2.00,3.00,4.00,4.00,3.67,3.50,3.00,4.00,0.00,0.00,0.00,4.00,0.00,2.00,0.00
6b54e8892ff5,Open Data Initiatives (Data.gov.be and Statbels Open Data),Belgium,2017,High income,68.0,2.65,62.0,0.00,2.00,0.00,3.00,0.00,2.00,0.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,0.00,3.00,3.00,3.00,3.00,0.00,0.00,3.00,0.00,2.00,2.00
1d52db19c9db,National Strategic Hub,Italy,2022,High income,60.0,3.24,62.0,0.00,3.00,4.00,4.00,3.00,0.00,3.50,4.00,0.00,0.00,0.00,3.67,3.00,0.00,3.00,2.50,0.00,2.00,4.00,0.00,0.00,3.00,0.00,4.00,2.00
ef9c68238201,Skills Development,Malta,2018,High income,64.0,2.94,61.9,2.00,2.00,2.00,2.00,0.00,0.00,2.00,2.00,3.00,0.00,4.00,4.00,5.00,0.00,0.00,4.00,3.00,0.00,2.00,0.00,0.00,5.00,0.00,2.00,3.00
e7650a1729a7,AI4Dev Reference Group,Nigeria,2023,Developing,64.0,2.94,61.9,0.00,4.00,3.00,2.00,4.00,0.00,3.00,2.00,0.00,0.00,1.00,2.50,3.00,4.00,0.00,3.50,0.00,4.00,2.00,0.00,0.00,3.00,0.00,4.00,2.00
500480ef711b,Human Rights in the Age of Artificial Intelligence,Ukraine,2024,Developing,56.0,3.54,61.9,4.00,0.00,0.00,0.00,4.00,4.00,4.00,0.00,4.00,2.00,4.67,3.50,2.00,0.00,3.33,4.00,4.00,0.00,0.00,4.00,0.00,2.00,0.00,0.00,0.00
9c9e1783abc9,Guidelines for Ethical Application of AI in Education,Croatia,2024,High income,56.0,3.54,61.9,0.00,3.00,3.00,0.00,0.00,2.00,3.00,0.00,0.00,3.00,3.00,4.00,5.00,5.00,3.00,4.50,0.00,0.00,0.00,0.00,0.00,5.00,0.00,3.00,3.00
fa9b57aea1cc,FactoryXChange EDIH,Ireland,2023,High income,56.0,3.54,61.9,0.00,4.00,3.50,3.00,0.00,0.00,3.50,3.00,0.00,0.00,2.00,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,4.00,0.00
cae54e1b87fa,European Digital Innovation Hubs,Latvia,2022,High income,60.0,3.23,61.9,0.00,2.00,4.00,3.00,0.00,0.00,4.00,3.00,0.00,0.00,2.00,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,2.00,2.00
57c8efeb3fb6,European Digital Innovation Hub (EDIH) Brussels,Belgium,2022,High income,60.0,3.23,61.9,0.00,2.00,4.00,3.00,0.00,0.00,4.00,3.00,0.00,0.00,2.00,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,2.00,2.00
569f4419c863,RETECH IA,Spain,2023,High income,52.0,3.83,61.9,0.00,2.67,4.00,5.00,0.00,0.00,4.00,5.00,0.00,0.00,0.00,4.00,4.00,3.67,0.00,4.00,0.00,2.50,5.00,0.00,0.00,4.00,0.00,2.00,0.00
327c95cd9660,Guidelines on Assessment of AI Reliability in the Field of Plant Safety,Japan,2020,High income,48.0,4.12,61.8,0.00,3.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,4.00,4.00,4.00,4.00,0.00,4.50,4.00,5.00,0.00,0.00,0.00,0.00,4.00,0.00,3.00,0.00
f5ff98d44d6c,Action Plan for Digital Transformation of Slovakia,Slovak Republic,2019,High income,60.0,3.22,61.8,3.00,2.50,4.00,0.00,0.00,0.00,3.00,0.00,2.50,0.00,2.50,4.00,4.00,4.33,0.00,3.00,2.50,4.00,0.00,0.00,0.00,4.00,0.00,3.00,2.00
362772b37616,Institute for AI Mihai Drăgănescu,Romania,2022,High income,64.0,2.92,61.7,0.00,2.00,4.00,0.00,2.00,0.00,4.00,0.00,4.00,2.00,1.00,2.00,4.00,0.00,2.00,4.00,3.67,0.00,0.00,0.00,4.00,4.00,0.00,2.00,2.00
77d3fa8554a8,Elaboration and Developing Privacy Policy Guideline,Saudi Arabia,2024,High income,52.0,3.81,61.7,4.50,3.00,0.00,0.00,3.00,4.00,0.00,0.00,4.25,4.00,4.50,3.33,4.00,0.00,0.00,3.50,4.50,0.00,0.00,0.00,0.00,4.00,0.00,3.00,0.00
a17399cfb9a7,COVID-19 Use of AI,Peru,2020,Developing,56.0,3.51,61.7,2.00,3.50,4.00,0.00,2.00,0.00,3.50,0.00,0.00,0.00,2.50,3.50,5.00,3.67,0.00,3.50,0.00,4.00,0.00,0.00,0.00,5.00,0.00,4.00,3.00
f18d28f325c4,National Strategy on R&D and Application of AI,Viet Nam,2021,Developing,52.0,3.81,61.7,0.00,4.00,4.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,2.00,4.00,4.50,4.00,0.00,4.50,4.00,4.00,0.00,0.00,0.00,4.50,0.00,4.00,0.00
4443bed8224c,Signature Projects,Denmark,2020,High income,56.0,3.50,61.6,0.00,3.00,3.00,0.00,4.00,0.00,3.00,0.00,4.00,0.00,0.00,5.00,4.00,4.00,3.00,3.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,3.00,2.00
92bf11bd3658,National Competition for AI,Austria,2021,High income,56.0,3.50,61.6,0.00,2.00,4.00,4.00,0.00,0.00,4.00,4.00,3.00,0.00,0.00,0.00,4.50,3.00,0.00,3.00,3.00,0.00,4.00,0.00,4.00,4.50,0.00,2.00,0.00
3cfe9e29f1e8,Action Plan for Iceland in the Fourth Industrial Revolution,Iceland,2020,High income,60.0,3.20,61.6,2.50,3.00,3.00,0.00,0.00,0.00,3.00,0.00,3.00,2.50,0.00,3.00,4.00,0.00,4.00,3.00,3.00,0.00,0.00,3.00,0.00,4.00,0.00,3.00,4.00
a3ac6b2f59bf,Recommendation on the Ethics of Artificial Intelligence,,,Unknown,64.0,2.89,61.5,4.00,2.33,4.00,2.00,0.00,0.00,3.33,2.00,0.00,0.00,0.00,2.00,2.00,4.50,2.00,5.00,0.00,4.00,2.00,3.00,0.00,2.00,0.00,2.00,0.00
b3427e1f8f36,Open Data Regulations,Saudi Arabia,2021,High income,48.0,4.08,61.5,0.00,4.00,3.00,0.00,0.00,0.00,3.00,0.00,4.67,0.00,3.25,4.33,5.00,0.00,4.00,4.00,4.75,0.00,0.00,0.00,0.00,5.00,0.00,4.00,0.00
919f57d3ac97,Next Generation AI Graduates Program,Australia,2021,High income,52.0,3.78,61.5,0.00,3.33,4.33,0.00,0.00,0.00,4.00,0.00,4.00,0.00,2.00,2.00,4.00,5.00,0.00,0.00,4.00,5.00,0.00,0.00,4.00,4.00,0.00,3.50,0.00
6e7ecf14b615,Priority Research Programme and Equipment (PEPR) on Artificial Intelligence,France,2024,High income,64.0,2.88,61.4,4.00,2.50,3.00,0.00,0.00,2.50,3.00,0.00,2.00,4.00,2.50,2.00,4.00,3.00,0.00,2.00,2.00,3.00,0.00,0.00,0.00,4.00,0.00,2.50,0.00
7148d07592ad,"""AI Next"" Campaign",United States,2018,High income,64.0,2.88,61.4,0.00,2.00,0.00,3.00,4.00,2.00,0.00,3.00,3.00,2.00,4.00,3.00,0.00,3.00,4.00,3.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,2.00
61c608061162,Executive Order on Maintaining American Leadership in AI,United States,2019,High income,52.0,3.77,61.4,0.00,0.00,3.00,0.00,0.00,4.00,3.00,0.00,4.50,2.00,2.50,3.00,5.00,4.00,0.00,4.67,4.33,4.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00
cd3f43536af4,Application Laboratory for AI and Big Data (AI Lab),Germany,2023,High income,52.0,3.77,61.4,0.00,3.00,4.00,5.00,0.00,0.00,4.00,5.00,0.00,0.00,2.00,4.00,3.50,0.00,0.00,4.00,0.00,0.00,5.00,0.00,0.00,3.50,0.00,3.00,3.00
7b45d0e34904,Guidebook on Introducing AI to SMEs,Japan,2021,High income,52.0,3.77,61.4,0.00,2.00,4.00,0.00,0.00,0.00,4.00,0.00,5.00,3.00,3.00,4.00,4.00,0.00,0.00,4.00,5.00,0.00,0.00,0.00,0.00,4.00,0.00,3.00,4.00
987fe1b1afdd,"Smart Cities Projects in Kozani, Trikala, Ioannina, Kalamata, Thessaloniki and Athens",Greece,2022,High income,60.0,3.17,61.3,0.00,3.00,2.00,4.00,0.00,0.00,2.00,4.00,0.00,0.00,3.00,3.00,3.50,3.00,0.00,3.50,3.00,3.00,4.00,0.00,0.00,3.50,0.00,3.00,0.00
83b5fffaaa3c,Open Data Policy,Tunisia,2019,Developing,56.0,3.46,61.3,3.00,2.00,4.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,3.50,3.00,4.00,0.00,3.00,4.00,4.00,0.00,0.00,4.00,0.00,4.00,0.00,2.00,0.00
1296801c3abd,Global AI Summit,Saudi Arabia,2024,High income,56.0,3.46,61.3,0.00,3.00,3.00,0.00,0.00,4.00,3.00,0.00,4.00,0.00,2.50,2.00,4.00,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,3.00,4.00
48a6805a33a3,Quantum Computing Research and Development Programme,Italy,2022,High income,56.0,3.46,61.3,0.00,3.00,4.00,4.00,3.00,0.00,4.00,4.00,0.00,0.00,0.00,4.00,3.00,0.00,3.50,4.00,0.00,2.00,4.00,0.00,0.00,3.00,0.00,3.00,0.00
1da30730a949,Select Committee on AI,United States,2018,High income,56.0,3.46,61.3,0.00,3.50,3.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,2.00,2.00,4.00,4.50,0.00,4.00,4.00,4.00,0.00,0.00,0.00,4.00,0.00,3.50,4.00
9905bc392be9,The Medium Term Program (2024-2026),Türkiye,2024,Developing,56.0,3.46,61.3,0.00,4.00,2.00,5.00,4.00,0.00,2.00,5.00,0.00,0.00,0.00,3.00,0.00,2.00,4.00,3.50,0.00,2.00,5.00,0.00,0.00,0.00,0.00,4.00,3.00
0ee739fbacb1,Technology Assessment Recognition Framework,Malta,2023,High income,44.0,4.36,61.3,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,4.50,0.00,4.33,4.00,3.00,0.00,4.67,0.00,4.50,5.00,0.00,0.00,0.00,3.00,0.00,5.00,0.00
e9ea54f3458a,Women in Digital,Belgium,2021,High income,56.0,3.46,61.3,3.00,3.67,3.00,0.00,0.00,0.00,3.75,0.00,0.00,3.00,2.00,3.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00,4.00,3.00,4.00,0.00,4.00,0.00
38acee784e2f,AI Strategy for the Austrian PES,Austria,2024,High income,56.0,3.45,61.2,4.00,4.00,2.00,0.00,0.00,0.00,2.00,0.00,3.00,4.00,3.33,3.00,4.00,4.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00
1e66dc7dfe76,Public Administration Data Strategy,Malta,2023,High income,52.0,3.74,61.1,0.00,4.00,4.00,0.00,0.00,4.00,4.00,0.00,4.00,3.00,4.00,4.00,3.00,0.00,0.00,3.67,4.00,0.00,0.00,0.00,0.00,3.00,0.00,4.00,0.00
b8e978d2fbdf,R&D projects for ICT and specific economic purposes,Slovenia,2022,High income,48.0,4.04,61.1,0.00,3.00,4.00,4.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00,5.00,0.00,3.50,0.00
800640f06355,European Digital Innovation Hubs (EDIHs),Bulgaria,2020,Developing,52.0,3.73,61.0,0.00,4.00,4.00,3.00,0.00,0.00,4.00,3.00,0.00,0.00,0.00,4.00,4.00,4.00,0.00,3.50,0.00,4.00,3.00,0.00,0.00,4.00,0.00,4.00,0.00
338df640308c,Hubs for Tomorrow,Germany,2019,High income,52.0,3.73,61.0,0.00,4.00,4.00,4.00,0.00,0.00,4.00,4.00,0.00,2.00,0.00,2.50,5.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,0.00,5.00,0.00,4.00,3.00
57730c51061d,Action Plan AI,Belgium,2019,High income,68.0,2.53,61.0,0.00,2.00,0.00,3.00,0.00,2.00,0.00,3.00,3.00,2.00,4.00,3.00,2.00,2.00,0.00,3.00,3.00,2.00,3.00,0.00,0.00,2.00,0.00,2.00,2.00
029d983e6d1f,Civic Innovation Platform,Germany,2020,High income,68.0,2.53,61.0,0.00,2.00,2.00,3.00,0.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,0.00,3.00,0.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,2.00,2.00
7d4037c80f19,National Data Index (NDI),Saudi Arabia,2023,High income,56.0,3.43,61.0,0.00,3.00,2.00,0.00,0.00,3.00,2.00,0.00,4.50,0.00,3.00,4.00,4.00,0.00,4.00,4.00,4.50,0.00,0.00,0.00,0.00,4.00,0.00,3.00,3.00
